username,repo_name,urls,stars
mrdoob,three.js,https://github.com/mrdoob/three.js,78500.0
libgdx,libgdx,https://github.com/libgdx/libgdx,19600.0
pmndrs,react-three-fiber,https://github.com/pmndrs/react-three-fiber,16600.0
BabylonJS,Babylon.js,https://github.com/BabylonJS/Babylon.js,15800.0
aframevr,aframe,https://github.com/aframevr/aframe,13700.0
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,12000.0
lettier,3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners,12000.0
FreeCAD,FreeCAD,https://github.com/FreeCAD/FreeCAD,10600.0
metafizzy,zdog,https://github.com/metafizzy/zdog,9000.0
CesiumGS,cesium,https://github.com/CesiumGS/cesium,8200.0
timzhang642,3D-Machine-Learning,https://github.com/timzhang642/3D-Machine-Learning,7600.0
a1studmuffin,SpaceshipGenerator,https://github.com/a1studmuffin/SpaceshipGenerator,7000.0
isl-org,Open3D,https://github.com/isl-org/Open3D,6100.0
domlysz,BlenderGIS,https://github.com/domlysz/BlenderGIS,4800.0
spritejs,spritejs,https://github.com/spritejs/spritejs,4800.0
blender,blender,https://github.com/blender/blender,4600.0
tensorspace-team,tensorspace,https://github.com/tensorspace-team/tensorspace,4600.0
jagenjo,webglstudio.js,https://github.com/jagenjo/webglstudio.js,4500.0
openscad,openscad,https://github.com/openscad/openscad,4500.0
YadiraF,PRNet,https://github.com/YadiraF/PRNet,4500.0
AaronJackson,vrn,https://github.com/AaronJackson/vrn,4400.0
ssloy,tinyraytracer,https://github.com/ssloy/tinyraytracer,4000.0
google,model-viewer,https://github.com/google/model-viewer,3900.0
mosra,magnum,https://github.com/mosra/magnum,3800.0
gfxfundamentals,webgl-fundamentals,https://github.com/gfxfundamentals/webgl-fundamentals,3400.0
FyroxEngine,Fyrox,https://github.com/FyroxEngine/Fyrox,3300.0
cleardusk,3DDFA,https://github.com/cleardusk/3DDFA,3200.0
jasonlong,isometric-contributions,https://github.com/jasonlong/isometric-contributions,3100.0
tengbao,vanta,https://github.com/tengbao/vanta,3100.0
cnr-isti-vclab,meshlab,https://github.com/cnr-isti-vclab/meshlab,2700.0
