username,repo_name,urls,stars
public-apis,public-apis,https://github.com/public-apis/public-apis,178000.0
httpie,httpie,https://github.com/httpie/httpie,53600.0
neovim,neovim,https://github.com/neovim/neovim,50400.0
strapi,strapi,https://github.com/strapi/strapi,42800.0
tiangolo,fastapi,https://github.com/tiangolo/fastapi,41200.0
hoppscotch,hoppscotch,https://github.com/hoppscotch/hoppscotch,36100.0
slatedocs,slate,https://github.com/slatedocs/slate,33600.0
hasura,graphql-engine,https://github.com/hasura/graphql-engine,25300.0
YMFE,yapi,https://github.com/YMFE/yapi,23500.0
ccxt,ccxt,https://github.com/ccxt/ccxt,23100.0
Binaryify,NeteaseCloudMusicApi,https://github.com/Binaryify/NeteaseCloudMusicApi,22700.0
encode,django-rest-framework,https://github.com/encode/django-rest-framework,22700.0
littlecodersh,ItChat,https://github.com/littlecodersh/ItChat,22000.0
paularmstrong,normalizr,https://github.com/paularmstrong/normalizr,20800.0
FallibleInc,security-guide-for-developers,https://github.com/FallibleInc/security-guide-for-developers,20000.0
Kong,insomnia,https://github.com/Kong/insomnia,19400.0
microsoft,api-guidelines,https://github.com/microsoft/api-guidelines,18500.0
pubkey,rxdb,https://github.com/pubkey/rxdb,16900.0
shieldfy,API-Security-Checklist,https://github.com/shieldfy/API-Security-Checklist,16600.0
directus,directus,https://github.com/directus/directus,13700.0
learn-anything,learn-anything,https://github.com/learn-anything/learn-anything,13600.0
ChainSafe,web3.js,https://github.com/ChainSafe/web3.js,13400.0
youfou,wxpy,https://github.com/youfou/wxpy,13100.0
jsdoc,jsdoc,https://github.com/jsdoc/jsdoc,12700.0
BrainJS,brain.js,https://github.com/BrainJS/brain.js,12400.0
fangzesheng,free-api,https://github.com/fangzesheng/free-api,11800.0
OpenAPITools,openapi-generator,https://github.com/OpenAPITools/openapi-generator,11100.0
graphile,postgraphile,https://github.com/graphile/postgraphile,11000.0
go-chi,chi,https://github.com/go-chi/chi,10800.0
postmanlabs,httpbin,https://github.com/postmanlabs/httpbin,10500.0
