username,repo_name,urls,stars
aspnetboilerplate,aspnetboilerplate,https://github.com/aspnetboilerplate/aspnetboilerplate,10100.0
dotnet,AspNetCore.Docs,https://github.com/dotnet/AspNetCore.Docs,10100.0
bitwarden,server,https://github.com/bitwarden/server,9100.0
nopSolutions,nopCommerce,https://github.com/nopSolutions/nopCommerce,6900.0
ElectronNET,Electron.NET,https://github.com/ElectronNET/Electron.NET,6100.0
RicoSuter,NSwag,https://github.com/RicoSuter/NSwag,4900.0
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,4500.0
JimBobSquarePants,ImageProcessor,https://github.com/JimBobSquarePants/ImageProcessor,2500.0
smartstore,SmartStoreNET,https://github.com/smartstore/SmartStoreNET,2400.0
dotnet,aspnet-api-versioning,https://github.com/dotnet/aspnet-api-versioning,2200.0
loic-sharma,BaGet,https://github.com/loic-sharma/BaGet,1900.0
mjebrahimi,Awesome-Microservices-NetCore,https://github.com/mjebrahimi/Awesome-Microservices-NetCore,1600.0
TrilonIO,aspnetcore-angular-universal,https://github.com/TrilonIO/aspnetcore-angular-universal,1500.0
TrilonIO,aspnetcore-Vue-starter,https://github.com/TrilonIO/aspnetcore-Vue-starter,1200.0
lampo1024,DncZeus,https://github.com/lampo1024/DncZeus,1200.0
MarimerLLC,csla,https://github.com/MarimerLLC/csla,
riganti,dotvvm,https://github.com/riganti/dotvvm,
cornflourblue,aspnet-core-3-jwt-authentication-api,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api,
json-api-dotnet,JsonApiDotNetCore,https://github.com/json-api-dotnet/JsonApiDotNetCore,
antonioCoco,SharPyShell,https://github.com/antonioCoco/SharPyShell,
chsakell,mvcarchitecture,https://github.com/chsakell/mvcarchitecture,
brthor,Gofer.NET,https://github.com/brthor/Gofer.NET,
YAFNET,YAFNET,https://github.com/YAFNET/YAFNET,
Maarten88,rrod,https://github.com/Maarten88/rrod,
IvanJosipovic,BlazorTable,https://github.com/IvanJosipovic/BlazorTable,
SapphireDb,SapphireDb,https://github.com/SapphireDb/SapphireDb,
Taritsyn,WebMarkupMin,https://github.com/Taritsyn/WebMarkupMin,
chsakell,aspnet-core-identity,https://github.com/chsakell/aspnet-core-identity,
EEParker,aspnetcore-vueclimiddleware,https://github.com/EEParker/aspnetcore-vueclimiddleware,
ALMMa,datatables.aspnet,https://github.com/ALMMa/datatables.aspnet,
