username,repo_name,urls,stars
jwasham,coding-interview-university,https://github.com/jwasham/coding-interview-university,205000.0
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,145000.0
trekhleb,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,134000.0
TheAlgorithms,Python,https://github.com/TheAlgorithms/Python,128000.0
yangshun,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,65099.99999999999
kdn251,interviews,https://github.com/kdn251/interviews,55900.0
azl397985856,leetcode,https://github.com/azl397985856/leetcode,46300.0
TheAlgorithms,Java,https://github.com/TheAlgorithms/Java,44100.0
algorithm-visualizer,algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,36300.0
crossoverJie,JCSprout,https://github.com/crossoverJie/JCSprout,26600.0
donnemartin,interactive-coding-challenges,https://github.com/donnemartin/interactive-coding-challenges,24600.0
halfrost,LeetCode-Go,https://github.com/halfrost/LeetCode-Go,23100.0
huihut,interview,https://github.com/huihut/interview,22100.0
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,21900.0
keon,algorithms,https://github.com/keon/algorithms,20300.0
trekhleb,homemade-machine-learning,https://github.com/trekhleb/homemade-machine-learning,18800.0
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,17700.0
mxgmn,WaveFunctionCollapse,https://github.com/mxgmn/WaveFunctionCollapse,17300.0
TheAlgorithms,Javascript,https://github.com/TheAlgorithms/Javascript,16900.0
AtsushiSakai,PythonRobotics,https://github.com/AtsushiSakai/PythonRobotics,14300.0
greyireland,algorithm-pattern,https://github.com/greyireland/algorithm-pattern,13100.0
OpenGenus,cosmos,https://github.com/OpenGenus/cosmos,13000.0
williamfiset,Algorithms,https://github.com/williamfiset/Algorithms,11900.0
halfrost,Halfrost-Field,https://github.com/halfrost/Halfrost-Field,10600.0
apachecn,apachecn-algo-zh,https://github.com/apachecn/apachecn-algo-zh,10500.0
lnishan,awesome-competitive-programming,https://github.com/lnishan/awesome-competitive-programming,9300.0
Blankj,awesome-java-leetcode,https://github.com/Blankj/awesome-java-leetcode,8300.0
jeffgerickson,algorithms,https://github.com/jeffgerickson/algorithms,7400.0
mgechev,javascript-algorithms,https://github.com/mgechev/javascript-algorithms,7100.0
LeetCode-OpenSource,vscode-leetcode,https://github.com/LeetCode-OpenSource/vscode-leetcode,7000.0
