username,repo_name,urls,stars
serverless,serverless,https://github.com/serverless/serverless,42000.0
localstack,localstack,https://github.com/localstack/localstack,38400.0
donnemartin,data-science-ipython-notebooks,https://github.com/donnemartin/data-science-ipython-notebooks,22400.0
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,21000.0
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,12400.0
aws,aws-cli,https://github.com/aws/aws-cli,11900.0
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,11800.0
pulumi,pulumi,https://github.com/pulumi/pulumi,11200.0
donnemartin,awesome-aws,https://github.com/donnemartin/awesome-aws,10000.0
apereo,cas,https://github.com/apereo/cas,9200.0
mozilla,sops,https://github.com/mozilla/sops,9000.0
aws,chalice,https://github.com/aws/chalice,8600.0
aws-amplify,amplify-js,https://github.com/aws-amplify/amplify-js,8600.0
apex,up,https://github.com/apex/up,8500.0
aws,serverless-application-model,https://github.com/aws/serverless-application-model,8400.0
google,go-cloud,https://github.com/google/go-cloud,8200.0
aws,aws-cdk,https://github.com/aws/aws-cdk,8200.0
caprover,caprover,https://github.com/caprover/caprover,8100.0
angristan,openvpn-install,https://github.com/angristan/openvpn-install,7400.0
aws,aws-sdk-go,https://github.com/aws/aws-sdk-go,7300.0
boto,boto3,https://github.com/boto/boto3,7000.0
aws,aws-sdk-js,https://github.com/aws/aws-sdk-js,6900.0
hashicorp,terraform-provider-aws,https://github.com/hashicorp/terraform-provider-aws,6800.0
GoogleCloudPlatform,terraformer,https://github.com/GoogleCloudPlatform/terraformer,6600.0
aws,amazon-sagemaker-examples,https://github.com/aws/amazon-sagemaker-examples,6500.0
awslabs,aws-shell,https://github.com/awslabs/aws-shell,6400.0
gruntwork-io,terratest,https://github.com/gruntwork-io/terratest,5900.0
aws,aws-sam-cli,https://github.com/aws/aws-sam-cli,5900.0
99designs,aws-vault,https://github.com/99designs/aws-vault,5800.0
donnemartin,dev-setup,https://github.com/donnemartin/dev-setup,5600.0
