username,repo_name,urls,stars
flutter,flutter,https://github.com/flutter/flutter,135000.0
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,86800.0
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,60600.0
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,48700.0
google,material-design-icons,https://github.com/google/material-design-icons,44900.0
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,42000.0
square,okhttp,https://github.com/square/okhttp,41500.0
android,architecture-samples,https://github.com/android/architecture-samples,40100.0
square,retrofit,https://github.com/square/retrofit,39400.0
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,39200.0
PhilJay,MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,34600.0
fastlane,fastlane,https://github.com/fastlane/fastlane,34000.0
airbnb,lottie-android,https://github.com/airbnb/lottie-android,32299.999999999996
shadowsocks,shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,32299.999999999996
bumptech,glide,https://github.com/bumptech/glide,32200.000000000004
Trinea,android-open-project,https://github.com/Trinea/android-open-project,30800.0
Blankj,AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,30400.0
xitu,gold-miner,https://github.com/xitu/gold-miner,30100.0
bilibili,ijkplayer,https://github.com/bilibili/ijkplayer,29900.0
zxing,zxing,https://github.com/zxing/zxing,29000.0
skylot,jadx,https://github.com/skylot/jadx,28900.0
laurent22,joplin,https://github.com/laurent22/joplin,27900.0
codepath,android_guides,https://github.com/codepath/android_guides,27700.0
square,leakcanary,https://github.com/square/leakcanary,27200.0
alibaba,fastjson,https://github.com/alibaba/fastjson,24100.0
scwang90,SmartRefreshLayout,https://github.com/scwang90/SmartRefreshLayout,23300.0
CymChad,BaseRecyclerViewAdapterHelper,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,22600.0
react-native-elements,react-native-elements,https://github.com/react-native-elements/react-native-elements,21900.0
google,iosched,https://github.com/google/iosched,21100.0
NativeScript,NativeScript,https://github.com/NativeScript/NativeScript,20800.0
