username,repo_name,urls,stars
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,86800.0
angular,angular,https://github.com/angular/angular,79300.0
storybookjs,storybook,https://github.com/storybookjs/storybook,68500.0
leonardomso,33-js-concepts,https://github.com/leonardomso/33-js-concepts,46300.0
ionic-team,ionic-framework,https://github.com/ionic-team/ionic-framework,46300.0
prettier,prettier,https://github.com/prettier/prettier,41700.0
SheetJS,sheetjs,https://github.com/SheetJS/sheetjs,28900.0
angular,angular-cli,https://github.com/angular/angular-cli,25200.0
angular,components,https://github.com/angular/components,22400.0
NativeScript,NativeScript,https://github.com/NativeScript/NativeScript,20800.0
jhipster,generator-jhipster,https://github.com/jhipster/generator-jhipster,19300.0
pubkey,rxdb,https://github.com/pubkey/rxdb,16900.0
handsontable,handsontable,https://github.com/handsontable/handsontable,16200.0
teambit,bit,https://github.com/teambit/bit,14600.0
goldbergyoni,javascript-testing-best-practices,https://github.com/goldbergyoni/javascript-testing-best-practices,14300.0
sweetalert2,sweetalert2,https://github.com/sweetalert2/sweetalert2,14100.0
linnovate,mean,https://github.com/linnovate/mean,12100.0
codesandbox,codesandbox-client,https://github.com/codesandbox/codesandbox-client,11200.0
nrwl,nx,https://github.com/nrwl/nx,10500.0
PatrickJS,angular-starter,https://github.com/PatrickJS/angular-starter,10400.0
Chocobozzz,PeerTube,https://github.com/Chocobozzz/PeerTube,10200.0
angular,protractor,https://github.com/angular/protractor,8800.0
OnsenUI,OnsenUI,https://github.com/OnsenUI/OnsenUI,8500.0
PatrickJS,awesome-angular,https://github.com/PatrickJS/awesome-angular,8200.0
dotansimha,graphql-code-generator,https://github.com/dotansimha/graphql-code-generator,8200.0
text-mask,text-mask,https://github.com/text-mask/text-mask,8100.0
ag-grid,ag-grid,https://github.com/ag-grid/ag-grid,8000.0
NG-ZORRO,ng-zorro-antd,https://github.com/NG-ZORRO/ng-zorro-antd,7900.0
ng-bootstrap,ng-bootstrap,https://github.com/ng-bootstrap/ng-bootstrap,7900.0
rematch,rematch,https://github.com/rematch/rematch,7800.0
