username,repo_name,urls,stars
ansible,ansible,https://github.com/ansible/ansible,52000.0
trailofbits,algo,https://github.com/trailofbits/algo,24500.0
StreisandEffect,streisand,https://github.com/StreisandEffect/streisand,22600.0
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,21000.0
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,11800.0
ansible,awx,https://github.com/ansible/awx,10600.0
easzlab,kubeasz,https://github.com/easzlab/kubeasz,7700.0
geerlingguy,ansible-for-devops,https://github.com/geerlingguy/ansible-for-devops,5400.0
khuedoan,homelab,https://github.com/khuedoan/homelab,5000.0
ansible-semaphore,semaphore,https://github.com/ansible-semaphore/semaphore,4700.0
rundeck,rundeck,https://github.com/rundeck/rundeck,4500.0
geerlingguy,mac-dev-playbook,https://github.com/geerlingguy/mac-dev-playbook,4300.0
Tikam02,DevOps-Guide,https://github.com/Tikam02/DevOps-Guide,4200.0
KubeOperator,KubeOperator,https://github.com/KubeOperator/KubeOperator,4200.0
clong,DetectionLab,https://github.com/clong/DetectionLab,3300.0
ansible-community,molecule,https://github.com/ansible-community/molecule,3300.0
opendevops-cn,opendevops,https://github.com/opendevops-cn/opendevops,3000.0
werf,werf,https://github.com/werf/werf,2900.0
welliamcao,OpsManage,https://github.com/welliamcao/OpsManage,2900.0
netbootxyz,netboot.xyz,https://github.com/netbootxyz/netboot.xyz,2800.0
ansible-community,ansible-lint,https://github.com/ansible-community/ansible-lint,2700.0
dev-sec,ansible-collection-hardening,https://github.com/dev-sec/ansible-collection-hardening,2600.0
MichaelCade,90DaysOfDevOps,https://github.com/MichaelCade/90DaysOfDevOps,2600.0
alixaxel,chrome-aws-lambda,https://github.com/alixaxel/chrome-aws-lambda,2500.0
litmuschaos,litmus,https://github.com/litmuschaos/litmus,2500.0
roots,trellis,https://github.com/roots/trellis,2300.0
ansistrano,deploy,https://github.com/ansistrano/deploy,2200.0
openshift,openshift-ansible,https://github.com/openshift/openshift-ansible,2000.0
fboender,ansible-cmdb,https://github.com/fboender/ansible-cmdb,2000.0
pytest-dev,pytest-testinfra,https://github.com/pytest-dev/pytest-testinfra,2000.0
