username,repo_name,urls,stars
arendst,Tasmota,https://github.com/arendst/Tasmota,17000.0
MarlinFirmware,Marlin,https://github.com/MarlinFirmware/Marlin,12600.0
rwaldron,johnny-five,https://github.com/rwaldron/johnny-five,12500.0
arduino,Arduino,https://github.com/arduino/Arduino,12400.0
SpacehuhnTech,esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,9500.0
tinygo-org,tinygo,https://github.com/tinygo-org/tinygo,9300.0
espressif,arduino-esp32,https://github.com/espressif/arduino-esp32,8000.0
hybridgroup,gobot,https://github.com/hybridgroup/gobot,7600.0
gurugio,lowlevelprogramming-university,https://github.com/gurugio/lowlevelprogramming-university,7300.0
platformio,platformio-core,https://github.com/platformio/platformio-core,5600.0
bblanchon,ArduinoJson,https://github.com/bblanchon/ArduinoJson,5500.0
tzapu,WiFiManager,https://github.com/tzapu/WiFiManager,5000.0
hybridgroup,cylon,https://github.com/hybridgroup/cylon,3900.0
Arduino-IRremote,Arduino-IRremote,https://github.com/Arduino-IRremote/Arduino-IRremote,3500.0
blynkkk,blynk-library,https://github.com/blynkkk/blynk-library,3300.0
arduino,arduino-cli,https://github.com/arduino/arduino-cli,3200.0
NectarJS,nectarjs,https://github.com/NectarJS/nectarjs,3200.0
olikraus,u8g2,https://github.com/olikraus/u8g2,2800.0
gioblu,PJON,https://github.com/gioblu/PJON,2600.0
1technophile,OpenMQTTGateway,https://github.com/1technophile/OpenMQTTGateway,2500.0
Serial-Studio,Serial-Studio,https://github.com/Serial-Studio/Serial-Studio,2300.0
scottlawsonbc,audio-reactive-led-strip,https://github.com/scottlawsonbc/audio-reactive-led-strip,2200.0
isl-org,OpenBot,https://github.com/isl-org/OpenBot,2100.0
crankyoldgit,IRremoteESP8266,https://github.com/crankyoldgit/IRremoteESP8266,2000.0
scottbez1,splitflap,https://github.com/scottbez1/splitflap,2000.0
nRF24,RF24,https://github.com/nRF24/RF24,1800.0
stm32duino,Arduino_Core_STM32,https://github.com/stm32duino/Arduino_Core_STM32,1800.0
Bodmer,TFT_eSPI,https://github.com/Bodmer/TFT_eSPI,1700.0
blinker-iot,blinker-library,https://github.com/blinker-iot/blinker-library,1700.0
ThingPulse,esp8266-oled-ssd1306,https://github.com/ThingPulse/esp8266-oled-ssd1306,1600.0
