username,repo_name,urls,stars
sindresorhus,awesome,https://github.com/sindresorhus/awesome,187000.0
vinta,awesome-python,https://github.com/vinta/awesome-python,115000.0
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,76000.0
avelino,awesome-go,https://github.com/avelino/awesome-go,74600.0
trimstray,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,58700.0
papers-we-love,papers-we-love,https://github.com/papers-we-love/papers-we-love,52800.0
521xueweihan,HelloGitHub,https://github.com/521xueweihan/HelloGitHub,52000.0
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,48700.0
jaywcjlove,awesome-mac,https://github.com/jaywcjlove/awesome-mac,47400.0
DopplerHQ,awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,44900.0
sindresorhus,awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,43600.0
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,42000.0
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,39200.0
prakhar1989,awesome-courses,https://github.com/prakhar1989/awesome-courses,39100.0
vsouza,awesome-ios,https://github.com/vsouza/awesome-ios,38900.0
MunGell,awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,38200.0
binhnguyennus,awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,37200.0
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,35700.0
tiimgreen,github-cheat-sheet,https://github.com/tiimgreen/github-cheat-sheet,33800.0
dypsilon,frontend-dev-bookmarks,https://github.com/dypsilon/frontend-dev-bookmarks,33100.0
akullpp,awesome-java,https://github.com/akullpp/awesome-java,31300.0
serhii-londar,open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,29300.0
dkhamsing,open-source-ios-apps,https://github.com/dkhamsing/open-source-ios-apps,29200.0
brillout,awesome-react-components,https://github.com/brillout/awesome-react-components,28900.0
ziadoz,awesome-php,https://github.com/ziadoz/awesome-php,26200.0
herrbischoff,awesome-macos-command-line,https://github.com/herrbischoff/awesome-macos-command-line,25600.0
rust-unofficial,awesome-rust,https://github.com/rust-unofficial/awesome-rust,24000.0
goabstract,Awesome-Design-Tools,https://github.com/goabstract/Awesome-Design-Tools,23900.0
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,22900.0
sindresorhus,awesome-electron,https://github.com/sindresorhus/awesome-electron,22400.0
