username,repo_name,urls,stars
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,21000.0
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,12400.0
microsoft,recommenders,https://github.com/microsoft/recommenders,12100.0
Azure,azure-quickstart-templates,https://github.com/Azure/azure-quickstart-templates,11300.0
pulumi,pulumi,https://github.com/pulumi/pulumi,11200.0
mozilla,sops,https://github.com/mozilla/sops,9000.0
microsoft,computervision-recipes,https://github.com/microsoft/computervision-recipes,8300.0
google,go-cloud,https://github.com/google/go-cloud,8200.0
caprover,caprover,https://github.com/caprover/caprover,8100.0
microsoft,azuredatastudio,https://github.com/microsoft/azuredatastudio,6600.0
node-formidable,formidable,https://github.com/node-formidable/formidable,6100.0
midwayjs,midway,https://github.com/midwayjs/midway,5300.0
infracost,infracost,https://github.com/infracost/infracost,4900.0
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,4500.0
budtmo,docker-android,https://github.com/budtmo/docker-android,4200.0
cloud-custodian,cloud-custodian,https://github.com/cloud-custodian/cloud-custodian,4000.0
nccgroup,ScoutSuite,https://github.com/nccgroup/ScoutSuite,3900.0
aquasecurity,tfsec,https://github.com/aquasecurity/tfsec,3800.0
bridgecrewio,checkov,https://github.com/bridgecrewio/checkov,3700.0
Azure,autorest,https://github.com/Azure/autorest,3600.0
simov,grant,https://github.com/simov/grant,3500.0
Azure,azure-sdk-for-net,https://github.com/Azure/azure-sdk-for-net,3300.0
microsoft,SynapseML,https://github.com/microsoft/SynapseML,3100.0
hashicorp,terraform-provider-azurerm,https://github.com/hashicorp/terraform-provider-azurerm,3100.0
Azure,azure-powershell,https://github.com/Azure/azure-powershell,2900.0
Azure,azure-cli,https://github.com/Azure/azure-cli,2900.0
Azure,MachineLearningNotebooks,https://github.com/Azure/MachineLearningNotebooks,2800.0
mlabouardy,komiser,https://github.com/mlabouardy/komiser,2700.0
APIs-guru,openapi-directory,https://github.com/APIs-guru/openapi-directory,2700.0
smartstore,SmartStoreNET,https://github.com/smartstore/SmartStoreNET,2400.0
