username,repo_name,urls,stars
babel,babel,https://github.com/babel/babel,40300.0
nylas,nylas-mail,https://github.com/nylas/nylas-mail,24600.0
kriasoft,react-starter-kit,https://github.com/kriasoft/react-starter-kit,21100.0
swc-project,swc,https://github.com/swc-project/swc,20000.0
avajs,ava,https://github.com/avajs/ava,19600.0
electron-react-boilerplate,electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate,19000.0
SimulatedGREG,electron-vue,https://github.com/SimulatedGREG/electron-vue,14700.0
grab,front-end-guide,https://github.com/grab/front-end-guide,14200.0
jamiebuilds,babel-handbook,https://github.com/jamiebuilds/babel-handbook,10700.0
grommet,grommet,https://github.com/grommet/grommet,7800.0
developit,htm,https://github.com/developit/htm,7400.0
angular-fullstack,generator-angular-fullstack,https://github.com/angular-fullstack/generator-angular-fullstack,6100.0
documentationjs,documentation,https://github.com/documentationjs/documentation,5500.0
insin,nwb,https://github.com/insin/nwb,5400.0
ben-rogerson,twin.macro,https://github.com/ben-rogerson/twin.macro,5300.0
egoist,poi,https://github.com/egoist/poi,5300.0
thinkjs,thinkjs,https://github.com/thinkjs/thinkjs,5300.0
transitive-bullshit,create-react-library,https://github.com/transitive-bullshit/create-react-library,4600.0
babel,babel-loader,https://github.com/babel/babel-loader,4600.0
jaredpalmer,backpack,https://github.com/jaredpalmer/backpack,4500.0
duxianwei520,react,https://github.com/duxianwei520/react,4400.0
fkling,astexplorer,https://github.com/fkling/astexplorer,4400.0
babel,minify,https://github.com/babel/minify,4300.0
tleunen,babel-plugin-module-resolver,https://github.com/tleunen/babel-plugin-module-resolver,3200.0
andywer,webpack-blocks,https://github.com/andywer/webpack-blocks,3000.0
babel,babel-eslint,https://github.com/babel/babel-eslint,3000.0
kunalkapadia,express-mongoose-es6-rest-api,https://github.com/kunalkapadia/express-mongoose-es6-rest-api,2800.0
thx,gogocode,https://github.com/thx/gogocode,2800.0
privatenumber,esbuild-loader,https://github.com/privatenumber/esbuild-loader,2700.0
uidotdev,react-course,https://github.com/uidotdev/react-course,2500.0
