username,repo_name,urls,stars
bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,61500.0
ccxt,ccxt,https://github.com/ccxt/ccxt,23100.0
HelloZeroNet,ZeroNet,https://github.com/HelloZeroNet/ZeroNet,17300.0
freqtrade,freqtrade,https://github.com/freqtrade/freqtrade,15600.0
askmike,gekko,https://github.com/askmike/gekko,9900.0
bbfamily,abu,https://github.com/bbfamily/abu,8700.0
lbryio,lbry-sdk,https://github.com/lbryio/lbry-sdk,7100.0
solana-labs,solana,https://github.com/solana-labs/solana,7100.0
dvf,blockchain,https://github.com/dvf/blockchain,6600.0
yeasy,blockchain_guide,https://github.com/yeasy/blockchain_guide,5900.0
lightningnetwork,lnd,https://github.com/lightningnetwork/lnd,5700.0
butor,blackbird,https://github.com/butor/blackbird,5500.0
spesmilo,electrum,https://github.com/spesmilo/electrum,5400.0
btcsuite,btcd,https://github.com/btcsuite/btcd,4600.0
bitcoinjs,bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib,4500.0
bitcoinj,bitcoinj,https://github.com/bitcoinj/bitcoinj,4200.0
bisq-network,bisq,https://github.com/bisq-network/bisq,3900.0
CryptoSignal,Crypto-Signal,https://github.com/CryptoSignal/Crypto-Signal,3800.0
michaelgrosner,tribeca,https://github.com/michaelgrosner/tribeca,3700.0
coinpride,CryptoList,https://github.com/coinpride/CryptoList,3600.0
Scanate,EthList,https://github.com/Scanate/EthList,3600.0
RomelTorres,alpha_vantage,https://github.com/RomelTorres/alpha_vantage,3600.0
jesse-ai,jesse,https://github.com/jesse-ai/jesse,3500.0
Zheaoli,awesome-coins,https://github.com/Zheaoli/awesome-coins,3500.0
bitpay,wallet,https://github.com/bitpay/wallet,3400.0
SqueezerIO,squeezer,https://github.com/SqueezerIO/squeezer,3300.0
btcpayserver,btcpayserver,https://github.com/btcpayserver/btcpayserver,3200.0
Jeiwan,blockchain_go,https://github.com/Jeiwan/blockchain_go,3200.0
cointop-sh,cointop,https://github.com/cointop-sh/cointop,3000.0
lbryio,lbrycrd,https://github.com/lbryio/lbrycrd,2700.0
