username,repo_name,urls,stars
twbs,bootstrap,https://github.com/twbs/bootstrap,155000.0
ColorlibHQ,AdminLTE,https://github.com/ColorlibHQ/AdminLTE,40400.0
tabler,tabler,https://github.com/tabler/tabler,24900.0
mdbootstrap,mdb-ui-kit,https://github.com/mdbootstrap/mdb-ui-kit,21900.0
ColorlibHQ,gentelella,https://github.com/ColorlibHQ/gentelella,20400.0
react-bootstrap,react-bootstrap,https://github.com/react-bootstrap/react-bootstrap,20400.0
verekia,js-stack-from-scratch,https://github.com/verekia/js-stack-from-scratch,18800.0
bootstrap-vue,bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,13700.0
thomaspark,bootswatch,https://github.com/thomaspark/bootswatch,13400.0
uxsolutions,bootstrap-datepicker,https://github.com/uxsolutions/bootstrap-datepicker,12500.0
wenzhixin,bootstrap-table,https://github.com/wenzhixin/bootstrap-table,11100.0
coreui,coreui-free-bootstrap-admin-template,https://github.com/coreui/coreui-free-bootstrap-admin-template,11100.0
reactstrap,reactstrap,https://github.com/reactstrap/reactstrap,10200.0
Templarian,MaterialDesign,https://github.com/Templarian/MaterialDesign,9800.0
snapappointments,bootstrap-select,https://github.com/snapappointments/bootstrap-select,9500.0
mdbootstrap,material-design-for-bootstrap,https://github.com/mdbootstrap/material-design-for-bootstrap,9500.0
StartBootstrap,startbootstrap-sb-admin-2,https://github.com/StartBootstrap/startbootstrap-sb-admin-2,9100.0
ng-bootstrap,ng-bootstrap,https://github.com/ng-bootstrap/ng-bootstrap,7900.0
BlackrockDigital,startbootstrap,https://github.com/BlackrockDigital/startbootstrap,7100.0
olton,Metro-UI-CSS,https://github.com/olton/Metro-UI-CSS,6800.0
twbs,icons,https://github.com/twbs/icons,5800.0
creativetimofficial,material-kit,https://github.com/creativetimofficial/material-kit,5700.0
febsteam,FEBS-Shiro,https://github.com/febsteam/FEBS-Shiro,5700.0
valor-software,ngx-bootstrap,https://github.com/valor-software/ngx-bootstrap,5400.0
Bttstrp,bootstrap-switch,https://github.com/Bttstrp/bootstrap-switch,5100.0
kartik-v,bootstrap-fileinput,https://github.com/kartik-v/bootstrap-fileinput,5100.0
jschr,bootstrap-modal,https://github.com/jschr/bootstrap-modal,5000.0
seyhunak,twitter-bootstrap-rails,https://github.com/seyhunak/twitter-bootstrap-rails,4500.0
cloudfavorites,favorites-web,https://github.com/cloudfavorites/favorites-web,4500.0
cydrobolt,polr,https://github.com/cydrobolt/polr,4200.0
