username,repo_name,urls,stars
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,60600.0
neovim,neovim,https://github.com/neovim/neovim,50400.0
git,git,https://github.com/git/git,40900.0
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,35700.0
obsproject,obs-studio,https://github.com/obsproject/obs-studio,35600.0
serhii-londar,open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,29300.0
FFmpeg,FFmpeg,https://github.com/FFmpeg/FFmpeg,28000.0
vim,vim,https://github.com/vim/vim,26000.0
curl,curl,https://github.com/curl/curl,23500.0
ggreer,the_silver_searcher,https://github.com/ggreer/the_silver_searcher,23200.0
huihut,interview,https://github.com/huihut/interview,22100.0
ruby,ruby,https://github.com/ruby/ruby,18800.0
mpv-player,mpv,https://github.com/mpv-player/mpv,17600.0
google,flatbuffers,https://github.com/google/flatbuffers,17400.0
pbatard,rufus,https://github.com/pbatard/rufus,17300.0
ossrs,srs,https://github.com/ossrs/srs,17100.0
oracle,graal,https://github.com/oracle/graal,16500.0
radareorg,radare2,https://github.com/radareorg/radare2,15700.0
microsoft,vcpkg,https://github.com/microsoft/vcpkg,14800.0
shadowsocks,shadowsocks-libev,https://github.com/shadowsocks/shadowsocks-libev,14700.0
allinurl,goaccess,https://github.com/allinurl/goaccess,14200.0
kovidgoyal,kitty,https://github.com/kovidgoyal/kitty,13500.0
jarun,nnn,https://github.com/jarun/nnn,13400.0
vurtun,nuklear,https://github.com/vurtun/nuklear,13400.0
facebook,infer,https://github.com/facebook/infer,12900.0
CoatiSoftware,Sourcetrail,https://github.com/CoatiSoftware/Sourcetrail,12400.0
TheAlgorithms,C,https://github.com/TheAlgorithms/C,12300.0
hashcat,hashcat,https://github.com/hashcat/hashcat,11600.0
qmk,qmk_firmware,https://github.com/qmk/qmk_firmware,11500.0
s-matyukevich,raspberry-pi-os,https://github.com/s-matyukevich/raspberry-pi-os,11100.0
