username,repo_name,urls,stars
electron,electron,https://github.com/electron/electron,100000.0
microsoft,playwright,https://github.com/microsoft/playwright,33600.0
FiloSottile,mkcert,https://github.com/FiloSottile/mkcert,33500.0
ovity,octotree,https://github.com/ovity/octotree,21800.0
iamadamdev,bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome,21800.0
segmentio,nightmare,https://github.com/segmentio/nightmare,19100.0
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,17800.0
checkly,headless-recorder,https://github.com/checkly/headless-recorder,13900.0
prisma-archive,chromeless,https://github.com/prisma-archive/chromeless,13300.0
google,WebFundamentals,https://github.com/google/WebFundamentals,12400.0
casesandberg,react-color,https://github.com/casesandberg/react-color,10400.0
GoogleChrome,chrome-extensions-samples,https://github.com/GoogleChrome/chrome-extensions-samples,9400.0
crimx,ext-saladict,https://github.com/crimx/ext-saladict,8600.0
uBlock-LLC,uBlock,https://github.com/uBlock-LLC/uBlock,8100.0
chromedp,chromedp,https://github.com/chromedp/chromedp,7200.0
MetaMask,metamask-extension,https://github.com/MetaMask/metamask-extension,7000.0
alvarcarto,url-to-pdf-api,https://github.com/alvarcarto/url-to-pdf-api,6600.0
kangvcar,InfoSpider,https://github.com/kangvcar/InfoSpider,6000.0
Kenshin,simpread,https://github.com/Kenshin/simpread,5500.0
yujiosaka,headless-chrome-crawler,https://github.com/yujiosaka/headless-chrome-crawler,5200.0
MontFerret,ferret,https://github.com/MontFerret/ferret,4900.0
gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,4600.0
firefox-devtools,debugger,https://github.com/firefox-devtools/debugger,4600.0
themerdev,themer,https://github.com/themerdev/themer,4600.0
burtonator,polar-bookshelf,https://github.com/burtonator/polar-bookshelf,4400.0
nieweidong,fetool,https://github.com/nieweidong/fetool,4300.0
browserless,chrome,https://github.com/browserless/chrome,4100.0
moonD4rk,HackBrowserData,https://github.com/moonD4rk/HackBrowserData,4000.0
ajayyy,SponsorBlock,https://github.com/ajayyy/SponsorBlock,3900.0
brookhong,Surfingkeys,https://github.com/brookhong/Surfingkeys,3900.0
