username,repo_name,urls,stars
metabase,metabase,https://github.com/metabase/metabase,27300.0
eclipse,deeplearning4j,https://github.com/eclipse/deeplearning4j,12300.0
LightTable,LightTable,https://github.com/LightTable/LightTable,11700.0
logseq,logseq,https://github.com/logseq/logseq,9500.0
kanaka,mal,https://github.com/kanaka/mal,8400.0
lk-geimfari,awesomo,https://github.com/lk-geimfari/awesomo,8300.0
penpot,penpot,https://github.com/penpot/penpot,6800.0
tonsky,datascript,https://github.com/tonsky/datascript,4600.0
reagent-project,reagent,https://github.com/reagent-project/reagent,4400.0
riemann,riemann,https://github.com/riemann/riemann,4100.0
weavejester,compojure,https://github.com/weavejester/compojure,3900.0
bbatsov,clojure-style-guide,https://github.com/bbatsov/clojure-style-guide,3800.0
izhangzhihao,intellij-rainbow-brackets,https://github.com/izhangzhihao/intellij-rainbow-brackets,3700.0
ring-clojure,ring,https://github.com/ring-clojure/ring,3400.0
status-im,status-react,https://github.com/status-im/status-react,3300.0
clojure-emacs,cider,https://github.com/clojure-emacs/cider,3300.0
bhauman,lein-figwheel,https://github.com/bhauman/lein-figwheel,2900.0
viebel,klipse,https://github.com/viebel/klipse,2900.0
tallesl,Rich-Hickey-fanclub,https://github.com/tallesl/Rich-Hickey-fanclub,2800.0
twosigma,beakerx,https://github.com/twosigma/beakerx,2600.0
babashka,babashka,https://github.com/babashka/babashka,2600.0
pedestal,pedestal,https://github.com/pedestal/pedestal,2500.0
clj-commons,aleph,https://github.com/clj-commons/aleph,2400.0
weavejester,hiccup,https://github.com/weavejester/hiccup,2400.0
razum2um,awesome-clojure,https://github.com/razum2um/awesome-clojure,2300.0
http-kit,http-kit,https://github.com/http-kit/http-kit,2200.0
defold,defold,https://github.com/defold/defold,2000.0
onyx-platform,onyx,https://github.com/onyx-platform/onyx,2000.0
anmonteiro,lumo,https://github.com/anmonteiro/lumo,1900.0
boot-clj,boot,https://github.com/boot-clj/boot,1700.0
