username,repo_name,urls,stars
ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,140000.0
httpie,httpie,https://github.com/httpie/httpie,53600.0
junegunn,fzf,https://github.com/junegunn/fzf,41800.0
sharkdp,bat,https://github.com/sharkdp/bat,32000.0
wagoodman,dive,https://github.com/wagoodman/dive,29800.0
sherlock-project,sherlock,https://github.com/sherlock-project/sherlock,29200.0
BurntSushi,ripgrep,https://github.com/BurntSushi/ripgrep,29200.0
chubin,cheat.sh,https://github.com/chubin/cheat.sh,28100.0
cli,cli,https://github.com/cli/cli,27000.0
jesseduffield,lazygit,https://github.com/jesseduffield/lazygit,25700.0
angular,angular-cli,https://github.com/angular/angular-cli,25200.0
spf13,cobra,https://github.com/spf13/cobra,25000.0
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,22900.0
google,python-fire,https://github.com/google/python-fire,21900.0
tqdm,tqdm,https://github.com/tqdm/tqdm,21000.0
sharkdp,fd,https://github.com/sharkdp/fd,20400.0
ibraheemdev,modern-unix,https://github.com/ibraheemdev/modern-unix,20200.0
n8n-io,n8n,https://github.com/n8n-io/n8n,20000.0
vercel,pkg,https://github.com/vercel/pkg,19600.0
avajs,ava,https://github.com/avajs/ava,19600.0
chalk,chalk,https://github.com/chalk/chalk,17900.0
vadimdemedes,ink,https://github.com/vadimdemedes/ink,17700.0
svg,svgo,https://github.com/svg/svgo,17200.0
urfave,cli,https://github.com/urfave/cli,17200.0
gpakosz,.tmux,https://github.com/gpakosz/.tmux,15900.0
allinurl,goaccess,https://github.com/allinurl/goaccess,14200.0
FormidableLabs,webpack-dashboard,https://github.com/FormidableLabs/webpack-dashboard,13900.0
infinitered,ignite,https://github.com/infinitered/ignite,13400.0
jarun,nnn,https://github.com/jarun/nnn,13400.0
asdf-vm,asdf,https://github.com/asdf-vm/asdf,13000.0
